YearBuilt,OverallQual,OverallCond,1stFlrSF,2ndFlrSF,LotArea,YrSold,HouseStyle,Condition1,Condition2,RoofMatl,Exterior1st,Exterior2nd,MSZoning,SaleType,SalePrice
2003,7,5,856,854,8450,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,208500
1976,6,8,1262,0,9600,2007,1Story,Feedr,Norm,CompShg,MetalSd,MetalSd,RL,WD,181500
2001,7,5,920,866,11250,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,223500
1915,7,5,961,756,9550,2006,2Story,Norm,Norm,CompShg,Wd Sdng,Wd Shng,RL,WD,140000
2000,8,5,1145,1053,14260,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,250000
1993,5,5,796,566,14115,2009,1.5Fin,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,143000
2004,8,5,1694,0,10084,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,307000
1973,7,6,1107,983,10382,2009,2Story,PosN,Norm,CompShg,HdBoard,HdBoard,RL,WD,200000
1931,7,5,1022,752,6120,2008,1.5Fin,Artery,Norm,CompShg,BrkFace,Wd Shng,RM,WD,129900
1939,5,6,1077,0,7420,2008,1.5Unf,Artery,Artery,CompShg,MetalSd,MetalSd,RL,WD,118000
1965,5,5,1040,0,11200,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,129500
2005,9,5,1182,1142,11924,2006,2Story,Norm,Norm,CompShg,WdShing,Wd Shng,RL,New,345000
1962,5,6,912,0,12968,2008,1Story,Norm,Norm,CompShg,HdBoard,Plywood,RL,WD,144000
2006,7,5,1494,0,10652,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,279500
1960,6,5,1253,0,10920,2008,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,157000
1929,7,8,854,0,6120,2007,1.5Unf,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,132000
1970,6,7,1004,0,11241,2010,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,149000
1967,4,5,1296,0,10791,2006,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,90000
2004,5,5,1114,0,13695,2008,1Story,RRAe,Norm,CompShg,VinylSd,VinylSd,RL,WD,159000
1958,5,6,1339,0,7560,2009,1Story,Norm,Norm,CompShg,BrkFace,Plywood,RL,COD,139000
2005,8,5,1158,1218,14215,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,325300
1930,7,7,1108,0,7449,2007,1.5Unf,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,139400
2002,8,5,1795,0,9742,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,230000
1976,5,7,1060,0,4224,2007,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RM,WD,129900
1968,5,8,1060,0,8246,2010,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,154000
2007,8,5,1600,0,14230,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,256300
1951,5,7,900,0,7200,2010,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,134800
2007,8,5,1704,0,11478,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,306000
1957,5,6,1600,0,16321,2006,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,207500
1927,4,6,520,0,6324,2008,1Story,Feedr,RRNn,CompShg,MetalSd,MetalSd,RM,WD,68500
1920,4,4,649,668,8500,2008,2Story,Feedr,Norm,CompShg,BrkFace,BrkFace,C (all),WD,40000
1966,5,6,1228,0,8544,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,149350
2007,8,5,1234,0,11049,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,179900
1959,5,5,1700,0,10552,2010,1Story,Norm,Norm,CompShg,BrkFace,BrkFace,RL,WD,165500
2005,9,5,1561,0,7313,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,277500
2004,8,5,1132,1320,13418,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,309000
1994,5,5,1097,0,10859,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,145000
1954,5,6,1297,0,8532,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,153000
1953,5,7,1057,0,7922,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,109000
1955,4,5,1152,0,6040,2008,1Story,Norm,Norm,CompShg,AsbShng,Plywood,RL,WD,82000
1965,6,5,1324,0,8658,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,160000
1959,5,6,1328,0,16905,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,170000
1983,5,7,884,0,9180,2007,SFoyer,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,144000
1975,5,6,938,0,9200,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,130250
1959,5,6,1150,0,7945,2006,1Story,Norm,Norm,CompShg,BrkFace,Wd Sdng,RL,WD,141000
2005,9,5,1752,0,7658,2010,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,319900
2003,7,5,1518,631,12822,2009,1.5Fin,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,239686
2006,8,5,1656,0,11096,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,249700
1920,4,5,736,716,4456,2009,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RM,New,113000
1966,5,7,955,0,7742,2007,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,127000
1997,6,6,794,676,13869,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,177000
1934,6,6,816,0,6240,2006,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,114500
1963,5,5,816,0,8472,2010,1Story,RRNn,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,110000
1981,9,5,1842,0,50271,2006,1Story,Norm,Norm,WdShngl,WdShing,Wd Shng,RL,WD,385000
1955,5,5,1360,0,7134,2007,SLvl,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,130000
1964,6,5,1425,0,10175,2008,1Story,Norm,Norm,CompShg,HdBoard,Plywood,RL,WD,180500
1999,8,5,983,756,2645,2009,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,FV,WD,172500
2004,7,5,860,860,11645,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,196500
2006,10,5,1426,1519,13682,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,438780
1972,5,7,780,0,7200,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,124900
2004,6,5,1158,0,13072,2006,1Story,RRAe,Norm,CompShg,VinylSd,VinylSd,RL,New,158000
1920,5,7,581,530,7200,2007,2.5Unf,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,101000
2006,8,5,1370,0,6442,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,202500
1921,7,6,902,808,10300,2010,2Story,RRAn,Feedr,CompShg,Stucco,Stucco,RM,WD,140000
1997,7,5,1057,977,9375,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,219500
2004,8,5,1143,1330,9591,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,317000
1970,7,5,2207,0,19900,2010,1Story,PosA,Norm,CompShg,Plywood,Plywood,RL,WD,180000
2003,7,5,1479,0,10665,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,226000
1945,4,6,747,0,4608,2010,1Story,Artery,Norm,CompShg,MetalSd,MetalSd,RM,WD,80000
1953,7,4,1304,983,15593,2006,1.5Fin,Norm,Norm,CompShg,BrkFace,AsbShng,RL,WD,225000
1973,7,6,2223,0,13651,2007,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,244000
1982,4,6,845,0,7599,2007,1Story,Norm,Norm,CompShg,HdBoard,Plywood,RL,WD,129500
1998,7,5,885,833,10141,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,185000
1954,5,7,1086,0,10200,2010,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,144900
1915,3,6,840,765,5790,2010,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,107400
1973,4,5,526,462,1596,2009,SLvl,Norm,Norm,CompShg,CemntBd,CmentBd,RM,WD,91000
1956,4,7,952,0,8475,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,135750
